lang,k1,b,recall@10
ar,1.2,0.0,0.45954870665932857
ar,1.2,0.25,0.49752339020363234
ar,1.2,0.5,0.5299944964226747
ar,1.2,0.65,0.5448541552008805
ar,1.2,0.7,0.5476059438635112
ar,1.2,0.75,0.5514584479911943
ar,1.2,0.8,0.5569620253164557
ar,1.2,0.85,0.5624656026417171
ar,1.2,0.9,0.5690698954320308
ar,1.2,0.95,0.5723720418271877
ar,1.2,1.0,0.5751238304898184
ar,1.1,0.0,0.46064942212438087
ar,1.1,0.25,0.49862410566868465
ar,1.1,0.5,0.5283434232250963
ar,1.1,0.65,0.5432030820033021
ar,1.1,0.7,0.5459548706659328
ar,1.1,0.75,0.5498073747936159
ar,1.1,0.8,0.5575123830489819
ar,1.1,0.85,0.561915244909191
ar,1.1,0.9,0.5679691799669785
ar,1.1,0.95,0.5712713263621354
ar,1.1,1.0,0.5729223995597138
ar,1.3,0.0,0.4589983489268024
ar,1.3,0.25,0.4964226747385801
ar,1.3,0.5,0.531095211887727
ar,1.3,0.65,0.5454045129334067
ar,1.3,0.7,0.5487066593285636
ar,1.3,0.75,0.5520088057237205
ar,1.3,0.8,0.558062740781508
ar,1.3,0.85,0.5646670335718217
ar,1.3,0.9,0.5679691799669785
ar,1.3,0.95,0.5729223995597138
ar,1.3,1.0,0.5756741882223445
ar,1.4,0.0,0.457347275729224
ar,1.4,0.25,0.49752339020363234
ar,1.4,0.5,0.5299944964226747
ar,1.4,0.65,0.5476059438635112
ar,1.4,0.7,0.5498073747936159
ar,1.4,0.75,0.554210236653825
ar,1.4,0.8,0.5597138139790864
ar,1.4,0.85,0.565767749036874
ar,1.4,0.9,0.5690698954320308
ar,1.4,0.95,0.5740231150247661
ar,1.4,1.0,0.5751238304898184
ar,1.5,0.0,0.45679691799669786
ar,1.5,0.25,0.49587231700605394
ar,1.5,0.5,0.5283434232250963
ar,1.5,0.65,0.546505228398459
ar,1.5,0.7,0.550357732526142
ar,1.5,0.75,0.5547605943863512
ar,1.5,0.8,0.5608145294441387
ar,1.5,0.85,0.5663181067694001
ar,1.5,0.9,0.569620253164557
ar,1.5,0.95,0.5740231150247661
ar,1.5,1.0,0.5756741882223445
ar,1.6,0.0,0.45679691799669786
ar,1.6,0.25,0.4964226747385801
ar,1.6,0.5,0.5305448541552009
ar,1.6,0.65,0.5443037974683544
ar,1.6,0.7,0.5487066593285636
ar,1.6,0.75,0.5547605943863512
ar,1.6,0.8,0.5602641717116126
ar,1.6,0.85,0.5663181067694001
ar,1.6,0.9,0.5718216840946615
ar,1.6,0.95,0.5751238304898184
ar,1.6,1.0,0.5773252614199229
ar,1.7,0.0,0.4562465602641717
ar,1.7,0.25,0.49697303247110625
ar,1.7,0.5,0.5294441386901486
ar,1.7,0.65,0.5454045129334067
ar,1.7,0.7,0.550357732526142
ar,1.7,0.75,0.554210236653825
ar,1.7,0.8,0.5591634562465603
ar,1.7,0.85,0.5663181067694001
ar,1.7,0.9,0.5712713263621354
ar,1.7,0.95,0.5745734727572922
ar,1.7,1.0,0.5767749036873968
ar,1.8,0.0,0.4551458447991194
ar,1.8,0.25,0.4980737479361585
ar,1.8,0.5,0.5305448541552009
ar,1.8,0.65,0.5459548706659328
ar,1.8,0.7,0.5498073747936159
ar,1.8,0.75,0.5547605943863512
ar,1.8,0.8,0.5602641717116126
ar,1.8,0.85,0.5668684645019263
ar,1.8,0.9,0.5707209686296092
ar,1.8,0.95,0.5745734727572922
ar,1.8,1.0,0.5762245459548707
ar,1.9,0.0,0.453494771601541
ar,1.9,0.25,0.49862410566868465
ar,1.9,0.5,0.5294441386901486
ar,1.9,0.65,0.546505228398459
ar,1.9,0.7,0.550357732526142
ar,1.9,0.75,0.5547605943863512
ar,1.9,0.8,0.5613648871766649
ar,1.9,0.85,0.5663181067694001
ar,1.9,0.9,0.5701706108970831
ar,1.9,0.95,0.5756741882223445
ar,1.9,1.0,0.5773252614199229
ar,2.0,0.0,0.45129334067143645
ar,2.0,0.25,0.49697303247110625
ar,2.0,0.5,0.5288937809576224
ar,2.0,0.65,0.5443037974683544
ar,2.0,0.7,0.5498073747936159
ar,2.0,0.75,0.5547605943863512
ar,2.0,0.8,0.5624656026417171
ar,2.0,0.85,0.5674188222344524
ar,2.0,0.9,0.5712713263621354
ar,2.0,0.95,0.5745734727572922
ar,2.0,1.0,0.5756741882223445
