lang,k1,b,recall@10
en,1.2,0.0,0.7852
en,1.2,0.25,0.8375
en,1.2,0.5,0.8448
en,1.2,0.65,0.8425
en,1.2,0.7,0.8416
en,1.2,0.75,0.8399
en,1.2,0.8,0.8378
en,1.2,0.85,0.8353
en,1.2,0.9,0.8316
en,1.2,0.95,0.8275
en,1.2,1.0,0.8219
en,1.1,0.0,0.7852
en,1.1,0.25,0.8367
en,1.1,0.5,0.8444
en,1.1,0.65,0.8434
en,1.1,0.7,0.8422
en,1.1,0.75,0.8403
en,1.1,0.8,0.8382
en,1.1,0.85,0.8354
en,1.1,0.9,0.8331
en,1.1,0.95,0.8279
en,1.1,1.0,0.8228
en,1.3,0.0,0.786
en,1.3,0.25,0.8377
en,1.3,0.5,0.8454
en,1.3,0.65,0.8424
en,1.3,0.7,0.8413
en,1.3,0.75,0.8386
en,1.3,0.8,0.8369
en,1.3,0.85,0.8343
en,1.3,0.9,0.831
en,1.3,0.95,0.8268
en,1.3,1.0,0.8201
en,1.4,0.0,0.787
en,1.4,0.25,0.8365
en,1.4,0.5,0.8456
en,1.4,0.65,0.8422
en,1.4,0.7,0.8404
en,1.4,0.75,0.8378
en,1.4,0.8,0.8354
en,1.4,0.85,0.8325
en,1.4,0.9,0.8292
en,1.4,0.95,0.8248
en,1.4,1.0,0.8191
en,1.5,0.0,0.7868
en,1.5,0.25,0.8357
en,1.5,0.5,0.8448
en,1.5,0.65,0.8423
en,1.5,0.7,0.8389
en,1.5,0.75,0.8369
en,1.5,0.8,0.834
en,1.5,0.85,0.831
en,1.5,0.9,0.8283
en,1.5,0.95,0.8234
en,1.5,1.0,0.8175
en,1.6,0.0,0.7857
en,1.6,0.25,0.8349
en,1.6,0.5,0.8439
en,1.6,0.65,0.8413
en,1.6,0.7,0.8384
en,1.6,0.75,0.8361
en,1.6,0.8,0.8324
en,1.6,0.85,0.8302
en,1.6,0.9,0.8269
en,1.6,0.95,0.8218
en,1.6,1.0,0.8162
en,1.7,0.0,0.7846
en,1.7,0.25,0.8351
en,1.7,0.5,0.8432
en,1.7,0.65,0.8403
en,1.7,0.7,0.8376
en,1.7,0.75,0.8351
en,1.7,0.8,0.8314
en,1.7,0.85,0.8287
en,1.7,0.9,0.8249
en,1.7,0.95,0.8202
en,1.7,1.0,0.8148
en,1.8,0.0,0.7832
en,1.8,0.25,0.8349
en,1.8,0.5,0.8424
en,1.8,0.65,0.839
en,1.8,0.7,0.8373
en,1.8,0.75,0.8343
en,1.8,0.8,0.8309
en,1.8,0.85,0.8275
en,1.8,0.9,0.8245
en,1.8,0.95,0.8191
en,1.8,1.0,0.8135
en,1.9,0.0,0.7827
en,1.9,0.25,0.8346
en,1.9,0.5,0.8424
en,1.9,0.65,0.838
en,1.9,0.7,0.8364
en,1.9,0.75,0.8328
en,1.9,0.8,0.8309
en,1.9,0.85,0.8271
en,1.9,0.9,0.8237
en,1.9,0.95,0.8175
en,1.9,1.0,0.8124
en,2.0,0.0,0.7808
en,2.0,0.25,0.8329
en,2.0,0.5,0.841
en,2.0,0.65,0.8372
en,2.0,0.7,0.8352
en,2.0,0.75,0.8323
en,2.0,0.8,0.83
en,2.0,0.85,0.8263
en,2.0,0.9,0.8222
en,2.0,0.95,0.8168
en,2.0,1.0,0.811
