lang,k1,b,recall@10
es,1.2,0.0,0.6211180124223602
es,1.2,0.25,0.6455190771960958
es,1.2,0.5,0.6592724046140195
es,1.2,0.65,0.6619343389529725
es,1.2,0.7,0.6645962732919255
es,1.2,0.75,0.6654835847382431
es,1.2,0.8,0.6668145519077197
es,1.2,0.85,0.6668145519077197
es,1.2,0.9,0.6677018633540373
es,1.2,0.95,0.668589174800355
es,1.2,1.0,0.6699201419698314
es,1.1,0.0,0.6220053238686779
es,1.1,0.25,0.645075421472937
es,1.1,0.5,0.6588287488908607
es,1.1,0.65,0.660603371783496
es,1.1,0.7,0.6632653061224489
es,1.1,0.75,0.6650399290150842
es,1.1,0.8,0.6654835847382431
es,1.1,0.85,0.6654835847382431
es,1.1,0.9,0.6668145519077197
es,1.1,0.95,0.6677018633540373
es,1.1,1.0,0.6694764862466726
es,1.3,0.0,0.6202307009760426
es,1.3,0.25,0.6455190771960958
es,1.3,0.5,0.6588287488908607
es,1.3,0.65,0.6628216503992902
es,1.3,0.7,0.665927240461402
es,1.3,0.75,0.6668145519077197
es,1.3,0.8,0.6668145519077197
es,1.3,0.85,0.6677018633540373
es,1.3,0.9,0.6694764862466726
es,1.3,0.95,0.6699201419698314
es,1.3,1.0,0.6703637976929903
es,1.4,0.0,0.6197870452528838
es,1.4,0.25,0.645075421472937
es,1.4,0.5,0.6583850931677019
es,1.4,0.65,0.6650399290150842
es,1.4,0.7,0.665927240461402
es,1.4,0.75,0.6663708961845608
es,1.4,0.8,0.6677018633540373
es,1.4,0.85,0.668589174800355
es,1.4,0.9,0.6694764862466726
es,1.4,0.95,0.6699201419698314
es,1.4,1.0,0.6703637976929903
es,1.5,0.0,0.6193433895297249
es,1.5,0.25,0.645075421472937
es,1.5,0.5,0.6588287488908607
es,1.5,0.65,0.665927240461402
es,1.5,0.7,0.6663708961845608
es,1.5,0.75,0.6672582076308784
es,1.5,0.8,0.6681455190771961
es,1.5,0.85,0.6690328305235137
es,1.5,0.9,0.6699201419698314
es,1.5,0.95,0.6703637976929903
es,1.5,1.0,0.6708074534161491
es,1.6,0.0,0.6193433895297249
es,1.6,0.25,0.6441881100266194
es,1.6,0.5,0.6601597160603372
es,1.6,0.65,0.665927240461402
es,1.6,0.7,0.6668145519077197
es,1.6,0.75,0.6677018633540373
es,1.6,0.8,0.668589174800355
es,1.6,0.85,0.6690328305235137
es,1.6,0.9,0.6703637976929903
es,1.6,0.95,0.6708074534161491
es,1.6,1.0,0.6703637976929903
es,1.7,0.0,0.6193433895297249
es,1.7,0.25,0.6446317657497782
es,1.7,0.5,0.660603371783496
es,1.7,0.65,0.6668145519077197
es,1.7,0.7,0.6672582076308784
es,1.7,0.75,0.6690328305235137
es,1.7,0.8,0.6694764862466726
es,1.7,0.85,0.6694764862466726
es,1.7,0.9,0.6708074534161491
es,1.7,0.95,0.6712511091393079
es,1.7,1.0,0.6708074534161491
es,1.8,0.0,0.6197870452528838
es,1.8,0.25,0.6446317657497782
es,1.8,0.5,0.6614906832298136
es,1.8,0.65,0.6663708961845608
es,1.8,0.7,0.6681455190771961
es,1.8,0.75,0.6690328305235137
es,1.8,0.8,0.6694764862466726
es,1.8,0.85,0.6708074534161491
es,1.8,0.9,0.6708074534161491
es,1.8,0.95,0.6708074534161491
es,1.8,1.0,0.6708074534161491
es,1.9,0.0,0.6188997338065662
es,1.9,0.25,0.6446317657497782
es,1.9,0.5,0.6610470275066548
es,1.9,0.65,0.6663708961845608
es,1.9,0.7,0.6681455190771961
es,1.9,0.75,0.6690328305235137
es,1.9,0.8,0.6703637976929903
es,1.9,0.85,0.6708074534161491
es,1.9,0.9,0.6708074534161491
es,1.9,0.95,0.6699201419698314
es,1.9,1.0,0.6699201419698314
es,2.0,0.0,0.6175687666370896
es,2.0,0.25,0.645075421472937
es,2.0,0.5,0.660603371783496
es,2.0,0.65,0.6668145519077197
es,2.0,0.7,0.6677018633540373
es,2.0,0.75,0.6694764862466726
es,2.0,0.8,0.6699201419698314
es,2.0,0.85,0.6708074534161491
es,2.0,0.9,0.6708074534161491
es,2.0,0.95,0.6703637976929903
es,2.0,1.0,0.6708074534161491
