lang,k1,b,recall@10
fr,1.2,0.0,0.3855721393034826
fr,1.2,0.25,0.4048507462686567
fr,1.2,0.5,0.4154228855721393
fr,1.2,0.65,0.4210199004975124
fr,1.2,0.7,0.4222636815920398
fr,1.2,0.75,0.4228855721393035
fr,1.2,0.8,0.4222636815920398
fr,1.2,0.85,0.4222636815920398
fr,1.2,0.9,0.4222636815920398
fr,1.2,0.95,0.4228855721393035
fr,1.2,1.0,0.4228855721393035
fr,1.1,0.0,0.3849502487562189
fr,1.1,0.25,0.40360696517412936
fr,1.1,0.5,0.4141791044776119
fr,1.1,0.65,0.4210199004975124
fr,1.1,0.7,0.4216417910447761
fr,1.1,0.75,0.4222636815920398
fr,1.1,0.8,0.4222636815920398
fr,1.1,0.85,0.4222636815920398
fr,1.1,0.9,0.4228855721393035
fr,1.1,0.95,0.4222636815920398
fr,1.1,1.0,0.4222636815920398
fr,1.3,0.0,0.3843283582089552
fr,1.3,0.25,0.4048507462686567
fr,1.3,0.5,0.416044776119403
fr,1.3,0.65,0.4216417910447761
fr,1.3,0.7,0.4222636815920398
fr,1.3,0.75,0.4216417910447761
fr,1.3,0.8,0.4222636815920398
fr,1.3,0.85,0.4222636815920398
fr,1.3,0.9,0.4222636815920398
fr,1.3,0.95,0.42350746268656714
fr,1.3,1.0,0.42412935323383083
fr,1.4,0.0,0.38370646766169153
fr,1.4,0.25,0.4048507462686567
fr,1.4,0.5,0.417910447761194
fr,1.4,0.65,0.4216417910447761
fr,1.4,0.7,0.4216417910447761
fr,1.4,0.75,0.4216417910447761
fr,1.4,0.8,0.4216417910447761
fr,1.4,0.85,0.4216417910447761
fr,1.4,0.9,0.4228855721393035
fr,1.4,0.95,0.42350746268656714
fr,1.4,1.0,0.42412935323383083
fr,1.5,0.0,0.3824626865671642
fr,1.5,0.25,0.4048507462686567
fr,1.5,0.5,0.4166666666666667
fr,1.5,0.65,0.4216417910447761
fr,1.5,0.7,0.4210199004975124
fr,1.5,0.75,0.4210199004975124
fr,1.5,0.8,0.4222636815920398
fr,1.5,0.85,0.4222636815920398
fr,1.5,0.9,0.4222636815920398
fr,1.5,0.95,0.42350746268656714
fr,1.5,1.0,0.42412935323383083
fr,1.6,0.0,0.38308457711442784
fr,1.6,0.25,0.4048507462686567
fr,1.6,0.5,0.4166666666666667
fr,1.6,0.65,0.4216417910447761
fr,1.6,0.7,0.4210199004975124
fr,1.6,0.75,0.4216417910447761
fr,1.6,0.8,0.4216417910447761
fr,1.6,0.85,0.4222636815920398
fr,1.6,0.9,0.4228855721393035
fr,1.6,0.95,0.4228855721393035
fr,1.6,1.0,0.42412935323383083
fr,1.7,0.0,0.3824626865671642
fr,1.7,0.25,0.40422885572139305
fr,1.7,0.5,0.4166666666666667
fr,1.7,0.65,0.4210199004975124
fr,1.7,0.7,0.4216417910447761
fr,1.7,0.75,0.4216417910447761
fr,1.7,0.8,0.4216417910447761
fr,1.7,0.85,0.4216417910447761
fr,1.7,0.9,0.4228855721393035
fr,1.7,0.95,0.42350746268656714
fr,1.7,1.0,0.4228855721393035
fr,1.8,0.0,0.38308457711442784
fr,1.8,0.25,0.4048507462686567
fr,1.8,0.5,0.4166666666666667
fr,1.8,0.65,0.4216417910447761
fr,1.8,0.7,0.4216417910447761
fr,1.8,0.75,0.4216417910447761
fr,1.8,0.8,0.4216417910447761
fr,1.8,0.85,0.4216417910447761
fr,1.8,0.9,0.4228855721393035
fr,1.8,0.95,0.4247512437810945
fr,1.8,1.0,0.42412935323383083
fr,1.9,0.0,0.38308457711442784
fr,1.9,0.25,0.4054726368159204
fr,1.9,0.5,0.417910447761194
fr,1.9,0.65,0.4222636815920398
fr,1.9,0.7,0.4222636815920398
fr,1.9,0.75,0.4216417910447761
fr,1.9,0.8,0.4216417910447761
fr,1.9,0.85,0.4222636815920398
fr,1.9,0.9,0.42350746268656714
fr,1.9,0.95,0.42412935323383083
fr,1.9,1.0,0.4247512437810945
fr,2.0,0.0,0.38308457711442784
fr,2.0,0.25,0.40733830845771146
fr,2.0,0.5,0.4185323383084577
fr,2.0,0.65,0.4222636815920398
fr,2.0,0.7,0.4222636815920398
fr,2.0,0.75,0.4228855721393035
fr,2.0,0.8,0.4228855721393035
fr,2.0,0.85,0.4228855721393035
fr,2.0,0.9,0.42412935323383083
fr,2.0,0.95,0.4247512437810945
fr,2.0,1.0,0.4247512437810945
