lang,k1,b,recall@10
it,1.2,0.0,0.4607159460715946
it,1.2,0.25,0.47512784751278475
it,1.2,0.5,0.4872152487215249
it,1.2,0.65,0.49279404927940496
it,1.2,0.7,0.4941887494188749
it,1.2,0.75,0.49697814969781495
it,1.2,0.8,0.499767549976755
it,1.2,0.85,0.502556950255695
it,1.2,0.9,0.503951650395165
it,1.2,0.95,0.5034867503486751
it,1.2,1.0,0.503951650395165
it,1.1,0.0,0.4597861459786146
it,1.1,0.25,0.4746629474662947
it,1.1,0.5,0.48675034867503486
it,1.1,0.65,0.49279404927940496
it,1.1,0.7,0.49279404927940496
it,1.1,0.75,0.49558344955834494
it,1.1,0.8,0.49837284983728497
it,1.1,0.85,0.502092050209205
it,1.1,0.9,0.5034867503486751
it,1.1,0.95,0.503021850302185
it,1.1,1.0,0.504416550441655
it,1.3,0.0,0.46118084611808463
it,1.3,0.25,0.47605764760576474
it,1.3,0.5,0.4872152487215249
it,1.3,0.65,0.49279404927940496
it,1.3,0.7,0.49465364946536494
it,1.3,0.75,0.49697814969781495
it,1.3,0.8,0.499767549976755
it,1.3,0.85,0.503951650395165
it,1.3,0.9,0.5034867503486751
it,1.3,0.95,0.504416550441655
it,1.3,1.0,0.504881450488145
it,1.4,0.0,0.4616457461645746
it,1.4,0.25,0.47652254765225477
it,1.4,0.5,0.48768014876801485
it,1.4,0.65,0.49279404927940496
it,1.4,0.7,0.49465364946536494
it,1.4,0.75,0.49697814969781495
it,1.4,0.8,0.499767549976755
it,1.4,0.85,0.503951650395165
it,1.4,0.9,0.5034867503486751
it,1.4,0.95,0.504881450488145
it,1.4,1.0,0.503951650395165
it,1.5,0.0,0.4607159460715946
it,1.5,0.25,0.4779172477917248
it,1.5,0.5,0.4881450488145049
it,1.5,0.65,0.4932589493258949
it,1.5,0.7,0.49511854951185497
it,1.5,0.75,0.496513249651325
it,1.5,0.8,0.500697350069735
it,1.5,0.85,0.503021850302185
it,1.5,0.9,0.503021850302185
it,1.5,0.95,0.504881450488145
it,1.5,1.0,0.504881450488145
it,1.6,0.0,0.4593212459321246
it,1.6,0.25,0.4769874476987448
it,1.6,0.5,0.4895397489539749
it,1.6,0.65,0.49465364946536494
it,1.6,0.7,0.49558344955834494
it,1.6,0.75,0.49697814969781495
it,1.6,0.8,0.500232450023245
it,1.6,0.85,0.503021850302185
it,1.6,0.9,0.503951650395165
it,1.6,0.95,0.504881450488145
it,1.6,1.0,0.504881450488145
it,1.7,0.0,0.45885634588563456
it,1.7,0.25,0.47745234774523476
it,1.7,0.5,0.4909344490934449
it,1.7,0.65,0.49558344955834494
it,1.7,0.7,0.496513249651325
it,1.7,0.75,0.49837284983728497
it,1.7,0.8,0.502092050209205
it,1.7,0.85,0.504881450488145
it,1.7,0.9,0.504881450488145
it,1.7,0.95,0.5058112505811251
it,1.7,1.0,0.504416550441655
it,1.8,0.0,0.4602510460251046
it,1.8,0.25,0.4779172477917248
it,1.8,0.5,0.4904695490469549
it,1.8,0.65,0.49558344955834494
it,1.8,0.7,0.497907949790795
it,1.8,0.75,0.499767549976755
it,1.8,0.8,0.503951650395165
it,1.8,0.85,0.5058112505811251
it,1.8,0.9,0.507205950720595
it,1.8,0.95,0.5076708507670851
it,1.8,1.0,0.504881450488145
it,1.9,0.0,0.4597861459786146
it,1.9,0.25,0.4779172477917248
it,1.9,0.5,0.48907484890748487
it,1.9,0.65,0.49558344955834494
it,1.9,0.7,0.497907949790795
it,1.9,0.75,0.5011622501162251
it,1.9,0.8,0.504416550441655
it,1.9,0.85,0.5053463505346351
it,1.9,0.9,0.5076708507670851
it,1.9,0.95,0.5081357508135751
it,1.9,1.0,0.5076708507670851
it,2.0,0.0,0.4597861459786146
it,2.0,0.25,0.4783821478382148
it,2.0,0.5,0.4895397489539749
it,2.0,0.65,0.49604834960483496
it,2.0,0.7,0.498837749883775
it,2.0,0.75,0.502092050209205
it,2.0,0.8,0.504416550441655
it,2.0,0.85,0.5058112505811251
it,2.0,0.9,0.5086006508600651
it,2.0,0.95,0.5081357508135751
it,2.0,1.0,0.5081357508135751
