lang,k1,b,recall@10
ko,1.2,0.0,0.5209281164695178
ko,1.2,0.25,0.5677888989990901
ko,1.2,0.5,0.591901728844404
ko,1.2,0.65,0.6014558689717925
ko,1.2,0.7,0.6032757051865332
ko,1.2,0.75,0.6060054595086443
ko,1.2,0.8,0.6064604185623294
ko,1.2,0.85,0.6069153776160146
ko,1.2,0.9,0.6087352138307552
ko,1.2,0.95,0.6096451319381255
ko,1.2,1.0,0.6096451319381255
ko,1.1,0.0,0.5236578707916287
ko,1.1,0.25,0.5677888989990901
ko,1.1,0.5,0.5896269335759782
ko,1.1,0.65,0.6010009099181074
ko,1.1,0.7,0.6023657870791629
ko,1.1,0.75,0.6037306642402184
ko,1.1,0.8,0.6046405823475887
ko,1.1,0.85,0.6064604185623294
ko,1.1,0.9,0.6073703366696998
ko,1.1,0.95,0.6087352138307552
ko,1.1,1.0,0.6101000909918107
ko,1.3,0.0,0.5191082802547771
ko,1.3,0.25,0.5673339399454049
ko,1.3,0.5,0.591901728844404
ko,1.3,0.65,0.6023657870791629
ko,1.3,0.7,0.6037306642402184
ko,1.3,0.75,0.6064604185623294
ko,1.3,0.8,0.6073703366696998
ko,1.3,0.85,0.6073703366696998
ko,1.3,0.9,0.60828025477707
ko,1.3,0.95,0.6091901728844404
ko,1.3,1.0,0.6101000909918107
ko,1.4,0.0,0.5200181983621474
ko,1.4,0.25,0.5691537761601456
ko,1.4,0.5,0.591901728844404
ko,1.4,0.65,0.6037306642402184
ko,1.4,0.7,0.6050955414012739
ko,1.4,0.75,0.6060054595086443
ko,1.4,0.8,0.6064604185623294
ko,1.4,0.85,0.607825295723385
ko,1.4,0.9,0.60828025477707
ko,1.4,0.95,0.6096451319381255
ko,1.4,1.0,0.6105550500454959
ko,1.5,0.0,0.5163785259326661
ko,1.5,0.25,0.5673339399454049
ko,1.5,0.5,0.591901728844404
ko,1.5,0.65,0.6041856232939036
ko,1.5,0.7,0.6050955414012739
ko,1.5,0.75,0.6064604185623294
ko,1.5,0.8,0.6073703366696998
ko,1.5,0.85,0.60828025477707
ko,1.5,0.9,0.6096451319381255
ko,1.5,0.95,0.6114649681528662
ko,1.5,1.0,0.6114649681528662
ko,1.6,0.0,0.5154686078252957
ko,1.6,0.25,0.5659690627843494
ko,1.6,0.5,0.5928116469517744
ko,1.6,0.65,0.6028207461328481
ko,1.6,0.7,0.6050955414012739
ko,1.6,0.75,0.6055505004549591
ko,1.6,0.8,0.6073703366696998
ko,1.6,0.85,0.607825295723385
ko,1.6,0.9,0.6096451319381255
ko,1.6,0.95,0.6105550500454959
ko,1.6,1.0,0.6119199272065514
ko,1.7,0.0,0.5154686078252957
ko,1.7,0.25,0.5655141037306642
ko,1.7,0.5,0.5923566878980892
ko,1.7,0.65,0.6019108280254777
ko,1.7,0.7,0.6050955414012739
ko,1.7,0.75,0.6055505004549591
ko,1.7,0.8,0.6073703366696998
ko,1.7,0.85,0.607825295723385
ko,1.7,0.9,0.6096451319381255
ko,1.7,0.95,0.6096451319381255
ko,1.7,1.0,0.6123748862602366
ko,1.8,0.0,0.5131938125568699
ko,1.8,0.25,0.5641492265696088
ko,1.8,0.5,0.5923566878980892
ko,1.8,0.65,0.6019108280254777
ko,1.8,0.7,0.6050955414012739
ko,1.8,0.75,0.6050955414012739
ko,1.8,0.8,0.6069153776160146
ko,1.8,0.85,0.607825295723385
ko,1.8,0.9,0.6091901728844404
ko,1.8,0.95,0.6101000909918107
ko,1.8,1.0,0.6123748862602366
ko,1.9,0.0,0.5131938125568699
ko,1.9,0.25,0.564604185623294
ko,1.9,0.5,0.5909918107370337
ko,1.9,0.65,0.6023657870791629
ko,1.9,0.7,0.6046405823475887
ko,1.9,0.75,0.6046405823475887
ko,1.9,0.8,0.6064604185623294
ko,1.9,0.85,0.607825295723385
ko,1.9,0.9,0.6091901728844404
ko,1.9,0.95,0.6105550500454959
ko,1.9,1.0,0.6123748862602366
ko,2.0,0.0,0.513648771610555
ko,2.0,0.25,0.564604185623294
ko,2.0,0.5,0.5905368516833485
ko,2.0,0.65,0.6014558689717925
ko,2.0,0.7,0.6037306642402184
ko,2.0,0.75,0.6050955414012739
ko,2.0,0.8,0.6069153776160146
ko,2.0,0.85,0.6087352138307552
ko,2.0,0.9,0.6091901728844404
ko,2.0,0.95,0.6110100090991811
ko,2.0,1.0,0.6119199272065514
